 ,Unnamed: 23
Условия отправки,Для вас сюрприз! Откройте письмо 😉
Доставлено,2191
Открытия,1207
OR,0.550890004564126
Кликов,128
CR,0.05842081241442264
CTR,0.1060480530240265
Отписок,0
UR,0.0
Доход по атрибуции MB,24237
Покупок по атрибуции MB,6
Средний чек по атрибуции,4039.6066666666666
Конверсия в заказы,0.0027384755819260614
,
Брошенная корзина Web-push,
Брошенных корзин,
Доставлено,2392
Процент отработанных корзин,
Открытия,1838
OR,0.7683946488294314
Кликов,84
CR,0.03511705685618729
CTR,0.04570184983677911
Доход по атрибуции MB,53795
Покупок по атрибуции MB,14
Средний чек по атрибуции,3842.5092857142854
Конверсия в заказы,0.005852842809364548
,
Брошенный просмотр товара Web-push,
Доставлено,0
Процент от регистраций,
Открытия,0
OR,0
Кликов,0
CR,0
CTR,0
Доход по атрибуции MB,0
Покупок по атрибуции MB,0
Средний чек по атрибуции,0
Конверсия в заказы,0
,
Брошенный просмотр категории Web-push,
Доставлено,0
Процент от регистраций,
Открытия,0
OR,0
Кликов,0
CR,0
CTR,0
Доход по атрибуции MB,0
Покупок по атрибуции MB,0
Средний чек по атрибуции,0
Конверсия в заказы,0
,
water_reminder Web-push,
Доставлено,92
Открытия,57
OR,0.6195652173913043
Кликов,4
CR,0.043478260869565216
CTR,0.07017543859649122
Доход по атрибуции MB,0
Покупок по атрибуции MB,0
Средний чек по атрибуции,0.0
Конверсия в заказы,0.0
,
Товар появился в наличии Web-push,
Доставлено,0
Открытия,0
OR,0
Кликов,0
CR,0
CTR,0
Доход по атрибуции MB,0
Покупок по атрибуции MB,0
Средний чек по атрибуции,0
Конверсия в заказы,0
,
trig_subscribe_email Web-push,
Доставлено,0
Открытия,0
OR,0
Кликов,0
CR,0
CTR,0
Доход по атрибуции MB,0
Покупок по атрибуции MB,0
Средний чек по атрибуции,0
Конверсия в заказы,0
,
DOI Черная пятница,
Доставлено,0
Открытия,0
OR,0
Кликов,0
CR,0
CTR,0
Отписок,0
UR,0
Доход по атрибуции MB,0
Покупок по атрибуции MB,0
Средний чек по атрибуции,0
Конверсия в заказы,0
,
DOI Черная пятница Спасибо,
Доставлено,0
Открытия,0
OR,0
Кликов,0
CR,0
CTR,0
Отписок,0
UR,0
Доход по атрибуции MB,0
Покупок по атрибуции MB,0
Средний чек по атрибуции,0
Конверсия в заказы,0
,
DOI Елки,
Доставлено,12
Открытия,11
OR,0.9166666666666666
Кликов,9
CR,0.75
CTR,0.8181818181818182
Отписок,0
UR,0.0
Доход по атрибуции MB,2018
Покупок по атрибуции MB,1
Средний чек по атрибуции,2018.0
Конверсия в заказы,0.08333333333333333
,
Елки Спасибо,
Доставлено,8
Открытия,8
OR,1.0
Кликов,3
CR,0.375
CTR,0.375
Отписок,0
UR,0.0
Доход по атрибуции MB,4999
Покупок по атрибуции MB,1
Средний чек по атрибуции,4999.0
Конверсия в заказы,0.125
,
NY landing 2020 DOI,
Ссылка на визуал,https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=5980780306322423808&hash=588CA2F1BB6C348176A86BE684D60A2AFF2E7D42&format=Html
Условия отправки,"Пожалуйста, подтвердите email"
Доставлено,2859
Открытия,1586
OR,0.5547394193774047
Кликов,1398
CR,0.48898216159496327
CTR,0.8814627994955864
Отписок,5
