ИД клиента;CustomerID
1298830;352691
1298953;367234
1299075;591017
1299769;357835
1300050;212808
1300324;419430
1300328;402424
1300417;564421
1300781;534192
1301938;402270
1302084;646697
1302281;193316
1302323;438374
1302789;328396
1303210;517071
1303261;273478
1303306;182278
1303609;378501
1304117;196998
1304471;506477
1304766;333118
1304820;455983
1304845;200028
1304870;641916
1304953;577322
1305000;360425
1305772;273105
1305946;303320
1307145;194619
1307268;354299
1307450;212158
1307632;364400
1307740;606952
1308248;609673
1308746;642230
1309359;289132
1309666;298925
1309750;647106
1310196;366777
1310278;370082
1310431;211228
1312430;651861
1314473;654355
1314540;654440
1316268;656133
1316426;656307
1318766;659150
1319158;659639
1319403;659952
1320719;661583
1320758;651831
1323767;664670
1324983;665622
1325476;666152
1326100;666856
1326588;667409
1326765;667622
1327152;668078
1327309;668276
1327971;669104
1330652;672670
1331108;673246
1331140;673289
1332393;674887
1334481;677313
1338585;682713
1340418;684479
1340436;684521
1341829;686518
1342056;686884
1345375;640310
1346362;263077
1346458;408209
1347072;357504
1347176;308966
1348807;357173
1348939;220243
1350406;449848
1350885;334583
1351398;555393
1351705;428276
1351892;167407
1352428;411502
1354297;371176
1355380;438512
1355846;412613
1356403;181756
1356547;528138
1357816;695576
1359222;585198
1364138;369002
1365197;465733
1367445;156421
1368593;673765
1372272;701005
1375896;385191
1379329;607542
1397771;523763
1402064;705686
1402375;705835
1403018;376048
1403377;706278
1403388;598677
1404622;707009
1409870;709295
1410122;709412
1412132;710254
1413351;710769
1417040;241115
1418570;447037
1420725;702128
1421781;713987
1425524;715540
1429815;
1430220;717580
1430338;717634
1435362;719733
1437569;720711
1439755;721520
1442456;722593
1442682;722690
1442843;273169
1443308;722990
1443450;723070
1447601;724766
1449025;725381
1449981;725872
1450620;726238
1450968;726463
1451833;726880
1452032;726967
1452920;727368
1454160;727956
1463118;731659
1465605;732817
1465792;732905
1472279;735704
1476071;737588
1478890;738920
1481093;739883
1486160;742205
1490681;388204
1491667;744347
1492185;744471
1492720;744617
1493507;744958
1498563;747149
1502865;749119
1505626;750327
1506989;750944
1507466;751139
1511940;754643
1512920;756099
1514284;758143
1516866;760142
1516924;760235
1517023;760405
1517457;761064
1521664;762923
